BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
11090,6336970,11090,Bar Holder with Clip,85,72,Dark Bluish Gray,Solid Colors,4,0.24
14418,6043639,14418,"Plate, Modified 1 x 2 with Small Tow Ball Socket on End",86,71,Light Bluish Gray,Solid Colors,2,0.55
15068,6105976,15068,"Slope, Curved 2 x 2 x 2/3",5,4,Red,Solid Colors,1,0.57
15208,6046907,15208,"Plate, Modified 1 x 2 with 3 Teeth",2,19,Tan,Solid Colors,1,0.41
16770,6253274,16770,"Barb / Claw / Horn / Tooth with Clip, Curved",5,4,Red,Solid Colors,4,0.49
18646,6099893,18646,"Plate, Round Half 3 x 6 with 1 x 2 Cutout",2,19,Tan,Solid Colors,1,1.65
22885,6135130,22885,"Brick, Modified 1 x 2 x 1 2/3 with Studs on Side",5,4,Red,Solid Colors,2,1.25
2540,4140585,2540,"Plate, Modified 1 x 2 with Bar Handle on Side - Free Ends",5,4,Red,Solid Colors,2,0.63
26604,6175968,26604,"Brick, Modified 1 x 1 with Studs on 2 Sides, Adjacent",2,19,Tan,Solid Colors,2,0.45
30153,6247790,30153,Rock 1 x 1 Jewel 24 Facet,16,42,Trans-Neon Green,Transparent Colors,2,0.22
3020,302021,3020,Plate 2 x 4,5,4,Red,Solid Colors,2,1.2
3021,302121,3021,Plate 2 x 3,5,4,Red,Solid Colors,1,0.93
3022,302221,3022,Plate 2 x 2,5,4,Red,Solid Colors,2,0.64
3023,302321,3023,Plate 1 x 2,5,4,Red,Solid Colors,7,0.36
32952,6187620,32952,"Brick, Modified 1 x 1 x 1 2/3 with Studs on Side",5,4,Red,Solid Colors,2,0.7
3729,4239654,3729,"Plate, Modified 2 x 2 with Tow Ball",86,71,Light Bluish Gray,Solid Colors,2,0
4032,403221,4032,"Plate, Round 2 x 2 with Axle Hole",5,4,Red,Solid Colors,2,0.37
4032,4140562,4032,"Plate, Round 2 x 2 with Axle Hole",2,19,Tan,Solid Colors,2,0.37
44728,6117974,44728,Bracket 1 x 2 - 2 x 2,5,4,Red,Solid Colors,1,0.8
53451,6270107,53451,Barb / Claw / Horn / Tooth - Small,5,4,Red,Solid Colors,4,0.1
60478,4515365,60478,"Plate, Modified 1 x 2 with Bar Handle on End",5,4,Red,Solid Colors,4,0.55
6541,654121,6541,"Technic, Brick 1 x 1 with Hole",5,4,Red,Solid Colors,2,0.38
99206,6469446,99206,"Plate, Modified 2 x 2 x 2/3 with 2 Studs on Side",5,4,Red,Solid Colors,1,0
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
53,25.92,,,,,,,,
