BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
11477,6094143,11477,"Slope, Curved 2 x 1 x 2/3",63,272,Dark Blue,Solid Colors,4,0.31
14417,6039479,14417,"Plate, Modified 1 x 2 with Tow Ball on Side",85,72,Dark Bluish Gray,Solid Colors,5,0.51
14418,6043639,14418,"Plate, Modified 1 x 2 with Small Tow Ball Socket on End",86,71,Light Bluish Gray,Solid Colors,3,0.55
14704,6043656,14704,"Plate, Modified 1 x 2 with Small Tow Ball Socket on Side",86,71,Light Bluish Gray,Solid Colors,3,0.55
15068,6047220,15068,"Slope, Curved 2 x 2 x 2/3",1,15,White,Solid Colors,4,0.57
15456,6448319,15456,"Plate, Modified 2 x 2 with Tow Ball and Hole",86,71,Light Bluish Gray,Solid Colors,2,0
15573,6092588,15573,"Plate, Modified 1 x 2 with 1 Stud with Groove and Bottom Stud Holder (Jumper)",63,272,Dark Blue,Solid Colors,4,0.3
2450,6110050,2450,"Wedge, Plate 3 x 3 Cut Corner",63,272,Dark Blue,Solid Colors,2,1.08
2540,4140588,2540,"Plate, Modified 1 x 2 with Bar Handle on Side - Free Ends",11,0,Black,Solid Colors,2,0.63
26604,6175968,26604,"Brick, Modified 1 x 1 with Studs on 2 Sides, Adjacent",2,19,Tan,Solid Colors,2,0.45
29119,6213881,29119,Wedge 2 x 1 x 2/3 Right,1,15,White,Solid Colors,2,0.23
29120,6213880,29120,Wedge 2 x 1 x 2/3 Left,1,15,White,Solid Colors,3,0.23
3004,4249891,3004,Brick 1 x 2,63,272,Dark Blue,Solid Colors,2,0.8
3009,6221672,3009,Brick 1 x 6,63,272,Dark Blue,Solid Colors,2,2.42
3020,4211395,3020,Plate 2 x 4,86,71,Light Bluish Gray,Solid Colors,2,1.2
3020,302001,3020,Plate 2 x 4,1,15,White,Solid Colors,1,1.2
3020,302021,3020,Plate 2 x 4,5,4,Red,Solid Colors,1,1.2
3021,302121,3021,Plate 2 x 3,5,4,Red,Solid Colors,1,0.93
3022,302201,3022,Plate 2 x 2,1,15,White,Solid Colors,1,0.64
3022,6037890,3022,Plate 2 x 2,63,272,Dark Blue,Solid Colors,1,0.64
3023,4528981,3023,Plate 1 x 2,63,272,Dark Blue,Solid Colors,6,0.36
3024,4184108,3024,Plate 1 x 1,63,272,Dark Blue,Solid Colors,6,0.2
3040,4211135,3040,Slope 45 2 x 1,85,72,Dark Bluish Gray,Solid Colors,3,0.69
3068,4205004,3068,Tile 2 x 2,63,272,Dark Blue,Solid Colors,3,0.48
3623,4177735,3623,Plate 1 x 3,63,272,Dark Blue,Solid Colors,6,0.53
3666,366601,3666,Plate 1 x 6,1,15,White,Solid Colors,2,1.06
3666,4211438,3666,Plate 1 x 6,86,71,Light Bluish Gray,Solid Colors,4,1.06
3710,371001,3710,Plate 1 x 4,1,15,White,Solid Colors,2,0.71
3937,4211066,3937,Hinge Brick 1 x 2 Base,85,72,Dark Bluish Gray,Solid Colors,1,0.48
4032,403221,4032,"Plate, Round 2 x 2 with Axle Hole",5,4,Red,Solid Colors,3,0.37
43722,4179874,43722,"Wedge, Plate 3 x 2 Right",1,15,White,Solid Colors,1,0.64
43723,4179875,43723,"Wedge, Plate 3 x 2 Left",1,15,White,Solid Colors,1,0.64
44301b,6266219,44301b,Hinge Plate 1 x 2 Locking with 1 Finger on End without Bottom Groove,1,15,White,Solid Colors,1,0.5
44676,4529551,44676,Flag 2 x 2 Trapezoid,63,272,Dark Blue,Solid Colors,2,0.38
48336,4222017,48336,"Plate, Modified 1 x 2 with Bar Handle on Side - Closed Ends",1,15,White,Solid Colors,1,0.54
4854,4643315,4854,"Slope, Inverted 45 4 x 4 Double",1,15,White,Solid Colors,1,3.61
54200,4504374,54200,Slope 30 1 x 1 x 2/3,63,272,Dark Blue,Solid Colors,6,0.21
54657,6267045,54657,Hinge Plate 1 x 2 Locking with 2 Fingers on End and 7 Teeth without Bottom Groove,11,0,Black,Solid Colors,1,0
60470b,6360036,60470b,"Plate, Modified 1 x 2 with 2 Open O Clips (Horizontal Grip)",5,4,Red,Solid Colors,1,0.55
60481,6097429,60481,Slope 65 2 x 1 x 2,63,272,Dark Blue,Solid Colors,2,1.16
6134,4124096,6134,Hinge Brick 2 x 2 Top Plate,11,0,Black,Solid Colors,1,0.47
4073,4523159,4073,"Plate, Round 1 x 1",115,297,Pearl Gold,Pearl Colors,4,0.12
61678,6042956,61678,"Slope, Curved 4 x 1",63,272,Dark Blue,Solid Colors,4,0.8
85984,4547489,85984,Slope 30 1 x 2 x 2/3,1,15,White,Solid Colors,1,0.34
85984,6216905,85984,Slope 30 1 x 2 x 2/3,63,272,Dark Blue,Solid Colors,2,0.34
92946,6186683,92946,Slope 45 2 x 1 with 2/3 Cutout,63,272,Dark Blue,Solid Colors,6,0.42
99207,6097637,99207,Bracket 1 x 2 - 2 x 2 Inverted,1,15,White,Solid Colors,2,0.8
98138pb204,6329648,98138pr0083,"Tile, Round 1 x 1 with Black Eye Squinting with Pupil Vertically Centered Pattern",1,15,White,Solid Colors,2,0
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
122,69.01998,,,,,,,,
