BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
11215,6533639,11215,Bracket 5 x 2 x 1 1/3 with 2 Holes and Bottom Tube,11,0,Black,Solid Colors,1,2.17
11476,6313120,11476,"Plate, Modified 1 x 2 with Clip on Side (Horizontal Grip)",5,4,Red,Solid Colors,1,0.46
11477,6047276,11477,"Slope, Curved 2 x 1 x 2/3",11,0,Black,Solid Colors,2,0.31
14418,6043639,14418,"Plate, Modified 1 x 2 with Small Tow Ball Socket on End",86,71,Light Bluish Gray,Solid Colors,2,0.55
15068,6107758,15068,"Slope, Curved 2 x 2 x 2/3",59,320,Dark Red,Solid Colors,5,0.57
15456,6448318,15456,"Plate, Modified 2 x 2 with Tow Ball and Hole",11,0,Black,Solid Colors,2,0
15573,6092597,15573,"Plate, Modified 1 x 2 with 1 Stud with Groove and Bottom Stud Holder (Jumper)",59,320,Dark Red,Solid Colors,5,0.3
15712,6360079,15712,"Tile, Modified 1 x 1 with Open O Clip",59,320,Dark Red,Solid Colors,1,0.2
22385,6291066,22385,"Tile, Modified 2 x 3 Pentagonal",59,320,Dark Red,Solid Colors,10,0
23443,6337283,23443,Bar Holder with Handle,59,320,Dark Red,Solid Colors,6,0
2420,242026,2420,Plate 2 x 2 Corner,11,0,Black,Solid Colors,2,0.54
2431,4539060,2431,Tile 1 x 4,59,320,Dark Red,Solid Colors,3,0.54
2450,4539064,2450,"Wedge, Plate 3 x 3 Cut Corner",59,320,Dark Red,Solid Colors,2,1.08
2654,6192839,2654,"Plate, Round 2 x 2 with Rounded Bottom (Boat Stud)",59,320,Dark Red,Solid Colors,5,0.45
29119,6219657,29119,Wedge 2 x 1 x 2/3 Right,59,320,Dark Red,Solid Colors,4,0.23
29120,6219658,29120,Wedge 2 x 1 x 2/3 Left,59,320,Dark Red,Solid Colors,4,0.23
3002,300226,3002,Brick 2 x 3,11,0,Black,Solid Colors,1,1.92
30166,6258991,30166,"Plate, Modified 2 x 3 Inverted with 4 Studs and Bar Handle on Bottom (Rocker Plate)",85,72,Dark Bluish Gray,Solid Colors,2,0.8
3020,302026,3020,Plate 2 x 4,11,0,Black,Solid Colors,1,1.2
3020,4539071,3020,Plate 2 x 4,59,320,Dark Red,Solid Colors,9,1.2
3022,302226,3022,Plate 2 x 2,11,0,Black,Solid Colors,2,0.64
3023,6514008,3023,Plate 1 x 2,50,37,Trans-Dark Pink,Transparent Colors,21,0.36
3024,4539114,3024,Plate 1 x 1,59,320,Dark Red,Solid Colors,2,0.2
30414,4162443,30414,"Brick, Modified 1 x 4 with Studs on Side",11,0,Black,Solid Colors,2,1.7
30602,6039200,30602,"Slope, Curved 2 x 2 Lip",59,320,Dark Red,Solid Colors,2,1.0
32009,6271152,32009,"Technic, Liftarm, Modified Bent Thick 1 x 11.5 Double",11,0,Black,Solid Colors,2,3.46
32062,4142865,32062,"Technic, Axle  2L Notched",5,4,Red,Solid Colors,4,0.26
